Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision
39.0,female,master,5.0,4.0,6.976543477,68,28,21,2,no
43.0,female,licence,14.0,4.0,12.51596123,21,4,92,2,no
27.0,male,licence,13.0,5.0,6.320588145,63,76,32,2,no
26.0,male,bac,11.0,4.0,42.08762085,40,0,37,2,no
22.0,female,master,7.0,5.0,7.948449594,86,86,34,2,yes
36.0,female,licence,7.0,4.0,38.36487788,70,2,66,2,no
20.0,female,licence,10.0,1.0,3.395693396,55,66,82,3,no
35.0,female,bac,12.0,1.0,48.42601638,22,70,9,2,no
31.0,male,master,8.0,5.0,36.55800438,24,99,90,2,yes
46.0,female,master,14.0,4.0,1.339827429,90,34,14,2,no
38.0,male,master,0.0,4.0,39.19282501,5,14,10,2,no
41.0,male,licence,13.0,2.0,26.70409604,33,66,89,3,no
42.0,female,bac,0.0,3.0,39.96825852,62,92,23,3,no
41.0,male,licence,2.0,5.0,27.12484044,8,29,76,2,no
33.0,male,licence,2.0,3.0,33.05124288,59,81,95,2,no
49.0,male,bac,9.0,3.0,40.31658277,48,74,100,2,no
25.0,male,licence,7.0,5.0,21.25540273,96,42,3,2,no
25.0,female,phd,14.0,4.0,1.135407491,50,59,12,3,no
32.0,female,master,9.0,5.0,43.4973248,59,39,72,1,yes
38.0,male,master,0.0,3.0,20.04451813,69,64,56,1,yes
41.0,female,phd,12.0,4.0,25.8021363,36,28,97,1,yes
27.0,female,licence,1.0,1.0,1.388332108,30,73,36,2,no
46.0,female,licence,1.0,5.0,25.60460052,97,91,47,3,no
46.0,female,phd,2.0,5.0,50.32437008,40,94,70,1,yes
21.0,female,bac,12.0,4.0,14.91338304,61,18,0,2,no
40.0,male,master,5.0,1.0,20.77091351,92,2,59,2,no
49.0,female,licence,0.0,1.0,35.35949982,57,35,11,2,no
20.0,female,licence,1.0,4.0,41.73968338,13,42,20,2,no
47.0,female,licence,12.0,2.0,21.8695812,35,14,10,3,no
34.0,female,phd,15.0,5.0,16.48344352,35,96,43,1,yes
20.0,male,master,14.0,5.0,47.89129,78,40,57,2,no
24.0,male,bac,12.0,3.0,34.85724833,7,89,43,1,yes
47.0,male,master,15.0,4.0,6.951065225,25,79,77,2,yes
48.0,male,licence,0.0,3.0,4.446393907,35,35,97,3,no
35.0,female,licence,4.0,3.0,25.17749254,47,96,33,1,no
38.0,male,licence,15.0,1.0,12.0045033,84,83,24,1,yes
23.0,female,licence,12.0,5.0,13.69923767,27,76,3,2,no
22.0,female,licence,12.0,3.0,44.88460894,67,32,63,2,no
36.0,female,phd,6.0,1.0,5.478301216,61,4,89,2,no
36.0,female,master,15.0,4.0,36.76820576,79,100,15,1,yes
31.0,female,licence,7.0,3.0,14.55711267,85,77,9,1,yes
47.0,male,bac,9.0,5.0,39.01641107,75,90,65,2,yes
49.0,male,phd,0.0,3.0,37.12056922,79,86,34,1,yes
48.0,male,phd,6.0,4.0,1.369595072,50,13,82,3,no
33.0,male,master,12.0,3.0,26.45677065,41,67,5,1,yes
40.0,female,bac,4.0,5.0,7.965974119,100,82,18,2,no
25.0,male,bac,9.0,1.0,44.31135153,28,46,58,1,no
22.0,female,licence,0.0,5.0,44.57929414,81,53,52,1,yes
47.0,male,bac,2.0,1.0,21.91729037,9,3,7,2,no
28.0,female,licence,6.0,2.0,23.21978092,38,93,77,2,no
24.0,female,phd,9.0,5.0,16.16414697,81,82,9,1,yes
43.0,male,licence,0.0,5.0,36.83031495,0,94,66,1,yes
48.0,female,bac,6.0,4.0,18.93306815,38,94,37,1,yes
36.0,female,licence,4.0,3.0,14.38962373,20,8,28,2,no
33.0,male,bac,0.0,1.0,22.61155298,64,52,14,2,no
40.0,female,bac,0.0,1.0,5.574375919,14,76,86,1,yes
50.0,female,licence,13.0,4.0,38.33016023,3,77,22,2,no
22.0,male,licence,0.0,4.0,1.629820064,59,59,81,2,no
47.0,male,master,10.0,3.0,33.22425308,60,45,45,3,no
20.0,female,phd,8.0,3.0,10.14322634,19,53,82,3,yes
39.0,female,licence,10.0,5.0,12.62020231,9,73,27,2,no
50.0,female,licence,12.0,2.0,32.78159993,86,94,25,1,yes
48.0,male,master,2.0,3.0,50.64717329,33,36,9,1,no
40.0,female,licence,14.0,4.0,39.88587445,47,22,46,2,no
42.0,male,bac,12.0,3.0,12.29198161,32,26,3,3,no
20.0,male,master,4.0,1.0,9.801237752,97,69,54,2,no
22.0,female,bac,10.0,2.0,44.31164351,60,89,65,2,no
37.0,male,licence,15.0,5.0,23.2091974,9,65,66,2,no
44.0,female,licence,9.0,1.0,7.852640141,53,60,6,2,no
29.0,female,licence,11.0,1.0,44.11057117,83,76,54,1,yes
50.0,female,licence,15.0,2.0,41.80461765,64,50,79,2,no
41.0,female,master,8.0,5.0,50.19531819,76,49,30,1,yes
45.0,female,bac,5.0,4.0,46.48718434,0,18,73,1,no
22.0,male,licence,11.0,5.0,43.58951693,4,0,18,2,no
27.0,male,master,8.0,3.0,3.628719891,79,39,27,1,yes
33.0,male,licence,7.0,1.0,6.220768475,14,31,80,1,yes
43.0,female,bac,7.0,3.0,29.44915972,27,21,27,1,no
37.0,female,master,0.0,4.0,27.57396231,94,92,18,3,no
34.0,female,licence,12.0,3.0,23.89816072,22,65,100,2,no
41.0,male,master,8.0,5.0,20.83946627,16,39,86,1,yes
42.0,female,master,5.0,3.0,22.56052424,97,37,19,2,no
21.0,male,licence,15.0,4.0,29.46489671,12,47,12,1,no
50.0,male,licence,8.0,4.0,1.10382588,13,54,76,2,no
46.0,female,phd,2.0,4.0,14.03543871,10,74,42,2,no
29.0,female,bac,11.0,5.0,26.91398603,27,80,10,3,no
21.0,male,master,2.0,4.0,37.11080493,41,54,47,2,no
45.0,female,bac,5.0,1.0,9.70783462,95,50,14,3,no
36.0,male,licence,8.0,4.0,28.34405869,98,59,16,3,no
27.0,female,licence,6.0,3.0,36.72298419,60,7,53,3,no
20.0,female,phd,13.0,3.0,23.2313829,63,85,49,2,no
28.0,male,phd,12.0,3.0,2.354056684,30,67,27,2,no
30.0,female,bac,2.0,5.0,23.46340792,80,74,82,2,no
41.0,male,bac,2.0,3.0,15.82224439,72,71,3,1,yes
35.0,female,master,1.0,5.0,47.48248039,9,8,21,1,no
26.0,male,licence,8.0,5.0,7.230669284,7,89,85,2,no
48.0,male,bac,12.0,4.0,33.62379778,20,1,100,2,no
29.0,female,licence,14.0,1.0,3.635988317,76,79,38,3,no
42.0,male,licence,2.0,4.0,23.30852189,58,94,33,1,no
45.0,female,phd,10.0,4.0,28.69897436,49,69,96,1,yes
22.0,female,licence,4.0,5.0,15.89774657,68,84,43,2,no
37.0,female,licence,13.0,5.0,23.75378178,69,89,41,2,no
44.0,male,licence,13.0,3.0,9.177689727,29,58,39,1,yes
43.0,male,master,8.0,3.0,16.20619247,94,18,96,3,yes
32.0,female,licence,7.0,4.0,32.05531625,16,27,11,2,no
47.0,female,licence,1.0,2.0,16.09000279,74,71,1,2,no
45.0,male,licence,2.0,2.0,45.98715392,19,13,27,3,no
26.0,female,master,15.0,3.0,32.42034788,47,23,73,2,no
44.0,female,licence,15.0,2.0,22.93245092,72,43,85,2,no
23.0,male,bac,1.0,3.0,2.937846778,1,100,80,3,no
32.0,female,licence,15.0,5.0,25.97741676,36,55,89,1,yes
39.0,male,licence,7.0,4.0,39.23881211,0,89,66,2,no
20.0,female,bac,5.0,1.0,14.2778799,3,94,70,1,yes
27.0,male,master,5.0,4.0,41.33867848,99,50,71,1,yes
33.0,female,licence,11.0,3.0,13.5903383,53,31,83,3,no
35.0,female,master,14.0,3.0,42.1873194,24,49,75,2,no
33.0,male,licence,8.0,4.0,5.263417081,2,40,98,2,no
31.0,female,master,7.0,3.0,44.30918544,8,65,80,3,yes
38.0,male,bac,3.0,2.0,25.95932255,85,24,91,3,no
42.0,female,licence,14.0,2.0,15.82687948,86,60,9,3,no
34.0,male,phd,11.0,3.0,14.25566252,75,65,85,2,yes
47.0,male,master,3.0,3.0,22.60052795,73,41,56,2,no
21.0,male,licence,8.0,2.0,50.95247491,33,64,96,1,yes
21.0,male,licence,0.0,3.0,12.01636967,42,35,85,2,no
42.0,female,master,12.0,3.0,6.160832444,73,75,36,2,yes
50.0,female,licence,1.0,4.0,30.25175844,93,8,76,2,no
41.0,male,master,1.0,1.0,25.42712332,21,35,90,2,no
38.0,male,master,12.0,2.0,27.20981355,69,91,63,3,yes
44.0,male,bac,12.0,4.0,34.34677088,1,37,78,2,no
45.0,female,bac,5.0,1.0,14.35720349,93,32,85,2,no
50.0,female,licence,14.0,3.0,46.53324977,65,41,93,2,no
49.0,female,bac,3.0,3.0,22.78360331,31,60,39,1,no
48.0,female,licence,15.0,4.0,7.454309757,15,45,100,1,yes
41.0,male,phd,12.0,3.0,38.11493784,75,85,97,2,yes
45.0,male,licence,10.0,5.0,33.15521763,0,88,59,1,yes
45.0,male,master,9.0,4.0,16.78717012,71,60,97,2,yes
41.0,female,licence,12.0,1.0,32.0759362,47,17,47,2,no
36.0,female,licence,2.0,4.0,11.99309782,49,69,98,1,yes
39.0,female,bac,2.0,2.0,23.24196797,12,81,18,1,no
29.0,male,licence,2.0,4.0,45.97062611,14,79,71,2,no
25.0,male,licence,5.0,3.0,7.676711658,52,14,32,2,no
34.0,female,licence,13.0,3.0,20.3348225,43,47,43,2,no
41.0,male,master,15.0,5.0,42.05712124,7,71,91,2,yes
30.0,female,licence,7.0,5.0,49.47454497,73,12,36,2,no
47.0,female,licence,10.0,5.0,23.69630682,45,42,88,3,no
24.0,male,licence,6.0,1.0,26.34998101,68,59,35,2,no
20.0,female,bac,13.0,5.0,29.60859809,18,56,80,3,no
27.0,male,licence,3.0,1.0,47.61740708,37,70,87,1,yes
40.0,female,bac,10.0,5.0,43.91033955,10,16,20,2,no
47.0,male,bac,11.0,1.0,9.530056231,42,49,1,2,no
31.0,male,bac,3.0,4.0,22.83789089,19,31,30,1,no
31.0,male,licence,10.0,4.0,24.20002141,19,21,96,1,yes
24.0,female,master,9.0,3.0,40.45480558,20,54,29,2,no
26.0,female,licence,14.0,1.0,31.14464413,81,56,75,1,yes
23.0,male,licence,10.0,2.0,33.7110231,56,12,43,1,no
25.0,male,licence,15.0,3.0,50.90999538,49,46,11,3,no
32.0,female,bac,10.0,4.0,4.748002174,73,86,50,3,no
39.0,female,master,13.0,1.0,12.15049118,97,61,48,2,yes
49.0,female,licence,10.0,5.0,21.39479687,25,53,23,2,no
34.0,male,licence,1.0,2.0,18.38912015,29,28,23,3,no
22.0,female,licence,13.0,4.0,2.082278067,72,21,59,2,no
42.0,female,bac,15.0,3.0,5.588880324,30,64,10,1,yes
27.0,male,licence,0.0,1.0,35.04766457,41,28,12,3,no
39.0,female,licence,8.0,2.0,44.96622317,67,47,90,2,no
35.0,female,master,11.0,1.0,26.71135056,60,4,71,2,no
32.0,female,bac,14.0,5.0,27.95955398,60,34,73,2,no
37.0,male,licence,11.0,3.0,13.75467164,69,73,71,2,no
47.0,male,licence,1.0,1.0,39.39381818,77,82,63,3,no
29.0,male,bac,12.0,4.0,38.58972937,67,100,19,2,no
49.0,male,licence,7.0,3.0,30.41828446,89,70,71,3,yes
38.0,male,master,14.0,4.0,11.63321433,16,45,72,3,no
36.0,male,master,15.0,1.0,5.850910912,18,34,70,2,no
43.0,male,licence,8.0,3.0,4.211928793,50,44,77,2,no
50.0,female,master,3.0,4.0,30.63480333,69,12,27,2,no
38.0,female,phd,7.0,5.0,42.25176596,62,9,1,1,yes
47.0,male,master,8.0,5.0,43.91652159,92,65,42,1,yes
45.0,female,bac,9.0,1.0,24.18110372,74,69,7,2,no
42.0,female,master,9.0,3.0,40.21356497,79,71,12,2,yes
45.0,male,licence,4.0,2.0,48.34400982,29,99,84,1,yes
24.0,female,phd,15.0,3.0,14.75850562,24,24,91,1,yes
45.0,female,licence,12.0,5.0,20.89801732,74,43,34,3,no
40.0,female,bac,13.0,4.0,47.57394963,70,59,22,2,no
49.0,female,master,6.0,2.0,17.91154837,25,46,45,3,no
42.0,female,licence,15.0,1.0,46.69381452,55,39,14,2,no
50.0,male,phd,9.0,2.0,50.05224311,21,6,1,2,no
28.0,male,phd,3.0,1.0,34.09053643,88,45,60,1,yes
31.0,male,licence,0.0,2.0,41.84451448,18,22,75,2,no
40.0,female,bac,2.0,1.0,38.47727821,30,82,63,2,no
20.0,male,licence,4.0,1.0,35.97671288,25,45,51,1,no
45.0,female,bac,2.0,2.0,16.34655365,41,85,35,2,no
45.0,female,bac,15.0,2.0,3.854716895,40,12,66,2,no
20.0,female,master,11.0,1.0,18.15258663,99,20,68,2,yes
34.0,female,licence,12.0,5.0,34.34679926,22,0,66,2,no
21.0,male,licence,10.0,2.0,6.126459911,46,18,46,2,no
49.0,male,phd,6.0,3.0,1.595899149,12,59,82,2,yes
41.0,female,licence,11.0,4.0,7.98461863,88,32,1,3,no
35.0,male,licence,8.0,1.0,36.78679632,65,3,43,3,no
44.0,female,phd,14.0,1.0,49.63968508,65,2,100,3,no
27.0,male,bac,11.0,4.0,50.15323498,15,90,63,2,no
32.0,male,master,5.0,5.0,25.69895746,72,51,80,2,yes
40.0,female,phd,12.0,4.0,44.46761505,27,98,77,2,yes
20.0,male,phd,9.0,2.0,37.84132279,76,27,27,1,yes
35.0,female,licence,0.0,4.0,26.05201185,34,69,90,3,no
48.0,male,licence,15.0,1.0,29.63802665,40,69,53,2,no
26.0,female,licence,6.0,4.0,7.861357331,76,54,73,1,yes
50.0,female,master,14.0,3.0,47.88307303,30,56,66,1,yes
24.0,male,master,2.0,2.0,18.59648854,84,86,35,3,no
41.0,male,licence,4.0,4.0,23.30746282,31,96,62,1,yes
48.0,female,licence,15.0,1.0,34.58301155,53,15,24,1,no
42.0,male,bac,9.0,2.0,17.69512358,97,23,85,2,no
22.0,male,bac,3.0,1.0,13.71295805,71,68,47,1,yes
31.0,female,master,9.0,5.0,32.55246966,58,40,38,3,no
45.0,female,licence,4.0,3.0,2.249204114,40,76,46,2,no
35.0,male,phd,4.0,5.0,37.0362556,65,46,93,2,no
38.0,female,master,5.0,3.0,26.70116849,95,75,20,3,no
24.0,female,bac,13.0,4.0,31.28768653,53,68,29,2,no
41.0,female,licence,9.0,2.0,32.59400796,39,100,91,2,no
44.0,male,licence,11.0,4.0,27.35250782,27,30,30,2,no
48.0,male,licence,9.0,3.0,30.12668887,36,91,25,2,no
33.0,female,master,12.0,3.0,35.18941004,64,91,21,2,no
47.0,male,master,12.0,3.0,38.65594236,73,29,20,2,no
24.0,female,master,10.0,1.0,37.37261956,54,17,0,3,no
34.0,male,licence,5.0,2.0,44.48082289,3,43,36,2,no
36.0,female,bac,15.0,4.0,10.47217166,98,26,76,3,no
49.0,female,master,7.0,4.0,21.05739847,9,98,84,2,yes
33.0,male,bac,7.0,5.0,48.3898033,46,25,45,2,no
49.0,female,licence,10.0,3.0,20.82952872,74,59,8,3,no
39.0,male,bac,8.0,3.0,7.243503845,13,17,16,1,no
24.0,male,licence,7.0,3.0,27.27225632,37,96,46,2,no
31.0,female,bac,12.0,4.0,6.474548628,11,88,84,2,no
35.0,female,licence,10.0,5.0,11.14266194,44,55,94,2,no
45.0,male,phd,1.0,1.0,50.91593783,16,30,58,1,no
45.0,female,bac,13.0,2.0,28.06813192,79,100,53,2,no
35.0,female,bac,13.0,1.0,15.20291945,34,58,85,2,no
40.0,female,licence,11.0,4.0,50.73874773,65,1,11,2,no
26.0,female,master,9.0,3.0,49.32794593,74,96,63,3,yes
23.0,female,licence,11.0,2.0,23.03695205,40,38,5,3,no
20.0,male,licence,10.0,4.0,14.02015544,66,60,52,2,no
49.0,male,bac,14.0,4.0,42.9199819,28,62,15,3,no
49.0,female,master,15.0,4.0,36.78103585,17,95,89,2,yes
24.0,female,licence,0.0,2.0,35.34707175,19,17,4,2,no
42.0,female,master,9.0,2.0,45.65568707,13,16,72,2,no
45.0,male,phd,1.0,5.0,35.47085669,33,97,45,2,no
29.0,female,licence,1.0,5.0,15.18989715,48,38,13,1,no
41.0,male,master,11.0,1.0,35.69315809,53,70,43,2,no
24.0,male,bac,2.0,2.0,16.29067556,30,53,62,2,no
23.0,male,master,9.0,2.0,38.96194898,57,98,93,2,yes
21.0,female,licence,6.0,2.0,31.98739272,41,93,51,3,no
39.0,male,master,1.0,5.0,4.870577599,57,75,25,2,no
50.0,female,bac,13.0,4.0,26.64176812,81,34,52,1,yes
29.0,male,bac,15.0,3.0,18.16504846,29,10,28,2,no
45.0,female,licence,0.0,5.0,17.42853164,24,60,18,2,no
38.0,male,licence,15.0,2.0,31.11281512,62,43,46,2,no
45.0,female,licence,13.0,5.0,17.11624122,18,67,7,1,yes
20.0,male,licence,5.0,1.0,39.84468741,71,24,22,2,no
43.0,female,bac,8.0,2.0,4.539571801,91,47,34,3,no
24.0,female,licence,14.0,1.0,34.01941262,7,31,94,2,no
32.0,female,master,2.0,2.0,41.45974018,94,83,52,3,no
23.0,female,licence,5.0,5.0,34.6415845,2,94,98,3,no
35.0,male,bac,2.0,4.0,25.86145975,66,3,95,1,no
43.0,male,licence,13.0,3.0,48.51535069,85,37,57,2,no
35.0,female,bac,12.0,1.0,15.99692449,80,62,4,2,no
42.0,male,phd,0.0,5.0,1.958394376,99,46,15,1,yes
21.0,female,bac,13.0,4.0,22.59946857,16,0,16,2,no
36.0,female,master,12.0,5.0,2.650596795,13,2,31,2,no
47.0,male,phd,15.0,1.0,48.69683763,8,100,95,1,yes
46.0,female,master,11.0,3.0,11.49590229,61,85,51,3,no
39.0,female,licence,4.0,5.0,40.4463512,93,61,19,2,no
43.0,male,master,9.0,2.0,39.72860416,20,63,65,3,yes
31.0,female,phd,13.0,4.0,11.88644498,75,16,83,2,yes
37.0,female,licence,12.0,5.0,32.06132652,36,77,81,3,no
22.0,female,licence,10.0,4.0,3.403948424,95,61,0,2,no
47.0,female,licence,3.0,2.0,25.17872929,10,34,57,1,no
20.0,male,licence,6.0,3.0,1.732356364,19,12,92,2,no
20.0,male,licence,5.0,3.0,47.05719401,34,34,92,2,no
48.0,male,licence,9.0,2.0,49.80430121,52,42,82,2,no
38.0,female,licence,6.0,4.0,12.11413833,46,1,43,2,no
30.0,female,bac,4.0,5.0,11.40530173,74,55,5,1,yes
24.0,male,bac,14.0,2.0,38.68600883,51,76,49,2,no
31.0,female,licence,14.0,1.0,13.66896994,7,50,71,2,no
22.0,female,bac,3.0,4.0,45.75382796,3,53,87,2,no
20.0,female,licence,15.0,3.0,29.69645681,26,15,19,2,no
20.0,female,licence,8.0,2.0,18.53888115,43,17,13,3,no
27.0,male,master,6.0,3.0,42.63468732,39,6,4,2,no
29.0,male,bac,5.0,4.0,25.67033502,46,44,40,2,no
30.0,male,licence,7.0,3.0,46.58164569,93,35,39,3,no
31.0,female,master,3.0,2.0,47.40071184,43,40,33,2,no
48.0,male,licence,9.0,4.0,9.271007606,47,93,79,1,yes
32.0,male,bac,4.0,1.0,1.116170307,90,41,44,1,no
31.0,female,master,3.0,2.0,50.19654701,84,6,70,2,no
50.0,female,master,11.0,5.0,46.30687681,51,14,79,1,yes
33.0,male,licence,0.0,2.0,3.772261785,83,59,70,2,no
21.0,male,licence,11.0,4.0,42.6517132,67,39,26,1,no
48.0,male,phd,7.0,2.0,23.89024663,10,82,77,1,yes
38.0,male,licence,0.0,1.0,13.94808025,76,36,77,2,no
37.0,female,licence,4.0,1.0,44.93732618,72,65,43,3,no
22.0,male,master,14.0,5.0,10.83336162,3,54,32,2,no
42.0,male,licence,5.0,3.0,48.36499997,75,76,32,3,no
36.0,female,licence,5.0,4.0,11.28107438,72,94,43,3,no
45.0,male,licence,12.0,4.0,31.68415939,76,79,19,1,yes
27.0,female,master,4.0,3.0,12.15431673,47,55,35,2,no
48.0,female,licence,15.0,1.0,28.28343325,25,43,6,2,no
45.0,female,licence,2.0,1.0,35.1987565,76,56,31,3,no
29.0,male,licence,14.0,2.0,10.51139654,38,5,66,2,no
45.0,male,licence,4.0,5.0,27.04428914,91,91,38,3,no
49.0,female,licence,11.0,5.0,24.45298722,57,31,92,1,yes
21.0,male,master,7.0,5.0,4.55187107,18,73,23,1,yes
38.0,male,licence,13.0,2.0,41.91539088,87,17,85,2,no
28.0,female,bac,1.0,5.0,17.78412003,82,67,69,2,no
26.0,female,master,15.0,3.0,29.72910988,76,72,87,1,yes
23.0,male,bac,5.0,2.0,26.73921175,76,6,86,2,no
45.0,female,phd,8.0,3.0,26.66302523,57,7,53,1,yes
40.0,male,bac,7.0,2.0,6.36111971,27,63,37,2,no
37.0,male,licence,13.0,5.0,22.17410046,65,6,73,3,no
32.0,male,bac,10.0,3.0,23.61833796,9,40,79,3,no
30.0,male,phd,7.0,3.0,37.68214202,85,39,74,2,yes
48.0,female,licence,7.0,3.0,43.0009416,76,2,31,2,no
43.0,female,bac,14.0,2.0,28.24911391,57,16,44,2,no
23.0,female,licence,12.0,4.0,5.339147703,72,65,60,1,yes
44.0,female,bac,6.0,5.0,12.84247353,96,78,69,2,yes
40.0,male,bac,7.0,3.0,9.246701343,13,92,87,1,yes
48.0,male,phd,12.0,4.0,7.230753159,83,51,96,3,yes
44.0,female,licence,5.0,5.0,19.29496493,14,21,52,3,no
23.0,male,master,1.0,5.0,12.46967511,95,3,50,2,no
29.0,male,licence,1.0,3.0,11.91515559,32,5,75,2,no
24.0,male,licence,7.0,3.0,3.734658729,16,37,55,1,no
28.0,female,bac,10.0,2.0,1.88350224,23,25,26,2,no
43.0,female,licence,0.0,4.0,6.138412132,29,10,37,2,no
22.0,female,master,5.0,4.0,9.609873971,61,89,61,2,no
36.0,male,phd,12.0,3.0,22.54918644,12,16,17,1,yes
22.0,female,licence,15.0,5.0,26.52601306,61,87,63,3,no
35.0,female,licence,5.0,3.0,8.029595909,46,91,76,2,no
23.0,female,licence,15.0,5.0,22.23916708,15,98,29,3,no
37.0,female,phd,10.0,5.0,18.08744212,65,30,48,3,no
36.0,female,licence,3.0,3.0,10.17118217,80,76,40,3,no
26.0,female,licence,11.0,1.0,1.342037407,95,34,12,1,yes
43.0,male,master,10.0,4.0,24.35089333,42,15,33,1,yes
42.0,male,bac,12.0,5.0,35.28258746,7,78,99,2,no
49.0,female,bac,14.0,5.0,12.31386671,2,17,93,1,yes
24.0,female,licence,10.0,1.0,7.590341495,11,100,24,2,no
31.0,male,phd,15.0,2.0,45.35213722,83,61,65,2,yes
36.0,male,licence,12.0,1.0,14.75123862,15,26,99,2,no
42.0,female,licence,9.0,1.0,12.18063099,77,34,17,1,yes
32.0,female,licence,2.0,5.0,43.85484698,79,44,4,3,no
42.0,female,licence,12.0,4.0,41.85535496,58,34,18,1,no
44.0,female,licence,10.0,1.0,23.41732353,48,27,41,2,no
22.0,male,licence,2.0,2.0,25.46194307,62,8,17,2,no
28.0,female,licence,14.0,3.0,11.88743524,61,75,31,2,no
49.0,female,licence,14.0,1.0,4.915083524,48,14,20,2,no
36.0,female,licence,15.0,1.0,29.67159127,50,20,9,1,no
36.0,female,licence,12.0,2.0,5.91724608,32,51,36,2,no
49.0,male,master,12.0,4.0,23.46372735,29,34,48,1,yes
39.0,male,bac,0.0,1.0,48.02485993,58,96,85,1,yes
35.0,male,master,2.0,1.0,48.64171946,75,50,12,2,no
44.0,female,master,3.0,4.0,12.96661433,14,82,54,2,no
41.0,female,licence,10.0,2.0,32.205671,81,54,16,2,no
32.0,male,licence,10.0,1.0,24.70381321,91,86,8,2,no
46.0,female,licence,4.0,4.0,44.78425638,22,76,87,3,no
38.0,female,licence,2.0,1.0,14.57154321,77,43,43,3,no
36.0,male,licence,5.0,3.0,1.185120342,93,64,77,2,no
23.0,male,bac,10.0,5.0,9.128060297,96,92,45,1,yes
31.0,male,licence,13.0,3.0,18.47614006,44,87,7,2,no
48.0,male,master,14.0,1.0,16.78605649,61,79,36,1,yes
28.0,female,licence,11.0,2.0,40.56814596,78,24,18,2,no
38.0,female,master,15.0,5.0,35.02803331,70,86,62,2,yes
31.0,male,licence,4.0,3.0,15.97781598,14,91,91,2,no
28.0,female,master,2.0,4.0,23.88719086,45,46,45,2,no
26.0,male,licence,5.0,2.0,5.777955198,63,79,93,1,yes
47.0,male,bac,5.0,3.0,45.90732224,45,55,70,2,no
33.0,female,licence,14.0,4.0,47.77124122,55,37,25,2,no
50.0,male,bac,13.0,1.0,49.99017677,43,10,45,2,no
39.0,female,licence,7.0,4.0,44.42764154,74,66,45,2,no
38.0,female,phd,1.0,3.0,9.698044385,28,14,74,2,no
45.0,female,bac,0.0,3.0,3.30982416,94,0,13,2,no
34.0,female,licence,15.0,1.0,29.97983637,61,6,84,2,no
35.0,male,master,3.0,4.0,46.63025134,88,0,62,1,yes
40.0,female,master,15.0,4.0,9.867568083,51,48,71,1,yes
24.0,male,licence,6.0,1.0,1.352145731,53,95,2,2,no
22.0,male,licence,14.0,4.0,41.2748023,87,72,27,1,yes
31.0,male,licence,15.0,1.0,4.839784214,56,28,28,2,no
44.0,male,licence,10.0,2.0,21.6853016,82,25,86,2,no
39.0,female,master,9.0,3.0,34.94436686,65,86,17,3,no
46.0,female,phd,2.0,2.0,12.83987927,21,44,34,3,no
40.0,male,master,2.0,5.0,5.198128172,19,92,76,1,yes
23.0,male,master,15.0,5.0,39.50106142,32,96,75,3,yes
40.0,female,bac,4.0,5.0,32.50875424,71,70,46,2,no
42.0,male,master,4.0,1.0,50.42452422,24,11,4,2,no
35.0,female,master,12.0,4.0,18.21540167,45,94,74,1,yes
44.0,male,bac,9.0,2.0,4.088119315,72,31,58,3,no
26.0,female,master,2.0,2.0,37.71750177,97,19,74,1,yes
32.0,male,licence,8.0,2.0,27.08667094,56,50,58,3,no
40.0,male,licence,3.0,2.0,11.66019657,86,80,46,1,yes
29.0,female,master,12.0,5.0,40.08644945,4,35,94,2,no
45.0,male,licence,12.0,2.0,11.18777429,54,66,94,2,no
26.0,male,bac,14.0,4.0,14.03308274,60,0,12,1,no
33.0,female,licence,2.0,5.0,5.626427718,88,26,77,1,yes
50.0,male,licence,10.0,2.0,20.97161395,7,39,88,2,no
45.0,female,phd,1.0,1.0,21.9464612,15,96,32,1,yes
24.0,female,licence,9.0,3.0,26.72808952,47,83,96,2,no
22.0,male,licence,12.0,3.0,36.44821336,60,13,61,2,no
42.0,male,master,10.0,3.0,46.30504643,14,99,78,3,yes
48.0,male,licence,8.0,5.0,7.886704944,64,68,15,2,no
30.0,male,licence,3.0,2.0,3.717404917,21,86,43,1,no
30.0,male,licence,15.0,5.0,1.92656168,2,78,57,2,no
37.0,male,master,2.0,4.0,8.181068903,53,5,5,1,no
34.0,male,licence,6.0,1.0,33.89747429,13,32,88,3,no
31.0,female,licence,7.0,1.0,37.3738539,35,54,14,3,no
28.0,male,bac,10.0,3.0,40.32528568,81,18,3,2,no
29.0,female,bac,13.0,3.0,13.1854106,81,76,55,1,yes
45.0,male,bac,1.0,3.0,16.29474066,66,28,63,3,no
31.0,male,bac,6.0,2.0,25.15673228,9,60,67,3,no
36.0,female,licence,11.0,4.0,4.159154843,48,69,93,3,no
48.0,male,master,4.0,4.0,31.55707616,64,78,33,3,no
25.0,male,licence,14.0,4.0,50.18675168,90,79,90,2,yes
26.0,female,master,10.0,4.0,19.04031557,56,23,94,1,yes
33.0,male,phd,4.0,3.0,38.64237375,26,22,55,2,no
32.0,male,master,2.0,1.0,26.00169578,74,9,31,2,no
27.0,male,licence,4.0,3.0,7.390592218,4,53,8,2,no
29.0,female,licence,11.0,4.0,30.11187244,70,40,62,2,no
28.0,male,licence,1.0,3.0,15.99371342,82,48,71,1,yes
37.0,male,bac,3.0,4.0,2.720160423,56,16,77,2,no
46.0,male,licence,5.0,5.0,32.74648651,92,55,32,2,no
